,Building,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Servant Quarters,Kitchens,Store Rooms,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
156,Goldcrest Views,DHA Phase 2,2.94,3.0,7.3,3.0,"Goldcrest Views Is A Luxury Project Of Giga Group In DHA Phase 2 Islamabad Having World Class Amenities On Rooftop As Well As On Podium. Fastest Construction Work In Progress On Site Goldcrest Views-1 Tower B Three Bedroom Apartment Floor 24th Size 1635 sq. ft *Total price 29,430,000/-* *Upfront payment 17,700,000/-* Possession end of 2027 *Model Apartment Can Be Visited At Giga Mall World Trade Center. *Margalla Facing Apartment. *Avail This Opportunity Before Its Too Late. Goldcrest Views Is Located At The Prime Address Of Downtown Giga. It Is A Centrally Connected Place On The Main G. T. Road. It S A Place Where The Best Health And Education Facilities Are Always Available. Plus, The Biggest Shopping Mall In Islamabad Giga Mall, And The Unique D-Mall Is Just A Walking Distance Away. Moreover, Its Strategic Location Is Easily Accessible From Rawalpindi As Well As Islamabad. This Is Because It Is Located In The Heart Of Twin Cities. *Goldcrest Views Islamabad Features* The Facilities Available To Each And Every Home Owner In Goldcrest Views Start From The Podium Level And Reach The Sky. So, Each And Every Home Owner Will Have Exclusive Access To Their Own Roof Top Facilities, With Expansive Views Of Margalla Hills. Some Of The Unmatchable Facilities Provided By This Project Are: *Rooftop Amenities* Swimming Pool, Children Play Areas, Juice Bar/Relaxation Lounge, Health Club, Gymnasium, Sauna/Steam Room, Shower Areas, Seating Area &Amp;Amp; Garden. *Podium Level* Mosque, Children Play Areas, Barbeque Area, Jogging/Walking Track, Water Bodies &Amp;Amp; Fountains, Daycare Center, Indoor Sports, Bakery/Library/Tuck Shop *Standard Features* Studio, 1, 2, 3, 4-Bed Luxury Apartments &Amp; Amp; Penthouses, Community Center, Power Backup, Covered Car Parking, 24-Hours CCTV Security And Surveillance, Fully Furnished Apartments (Optional), Prime Location Of DHA 2 Islamabad. For More Information Contact Please On Above Written Cell No.",0,1.0,24.0,5.0,40.0,,1.0,,0.40273972602739727,Future,High-Rise,Skyscarper,High-Capacity
163,Askari Heights 4,DHA Phase 5,3.05,4.0,10.0,3.0,Newly Constructed Flat For Sale In DHA 5 Askari Heights 4 Ideal Location Best Option For Leaving Further Information Please Contact Us ESTATE INVESTMENT Office Main Cal Tex Road Rawalpindi. Registered and Authorized Dealer of Army Housing Directorate GHQ Rawalpindi And DHA Islamabad.,0,3.0,1.0,1.0,12.0,0.0,,0.0,0.305,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
164,MPCHS,B-17,0.38,1.0,1.6,1.0,B1 Markaz Islamabad Arcade 3rd Floor Builder Transfer Lift Not Available 25k Unfurnished Rental Value 40k Furnished Rental Value,0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,0.2375,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
172,B-17,B-17,0.56,1.0,2.0,1.0,Project Features: Spacious entrance lobby Spacious Shops Rooftop space for family events Individual electricity backup for every residence Video surveillance of parking and entrance areas from each apartment 24/7 security Car parking area Outdoor terraces Beautiful Architectural design Separate Entrance for Apartments and flats In house Maintenance Department Earthquake-resilient structure and Excellent firefighting system,1,1.0,1.0,1.0,7.0,,1.0,,0.28,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
173,Faisal Town,Faisal Town Phase 1,1.56,3.0,5.4,2.0,"For Discounted Price please call. Faisal Heights is a mid-rise apartment development in Faisal Town, a project of Zedem International. It is within easy access to major locations, just a few minutes away from the Kashmir Highway and Islamabad Airport. The Faisal Heights project offers a selection of 1, 2 & 3 bedroom apartments with larger layouts, contemporary design, and easy installment options. This is a safe, NOC-approved investment opportunity with a legally documented title, steady development, and clear possession. The housing society is fully approved and part of a modern, actively developing residential area. Faisal Height Two Bed Apartment From 1,210 SQ. FT - 1,905 SQ. FT Rate: 1,2950 Per SQ. FT Faisal Heights Developers & Owners Faisal Heights Islamabad apartments project, is a mid-rise apartment scheme in the Faisal Town Phase 1 and developed by Zedem International, which is owned by Chaudhary Abdul Majeed. Located conveniently off the Kashmir Highway and a few minutes from Islamabad International Airport, the location is linked to the central locations of the twin cities. Faisal Heights Layout Plan The Faisal Heights project has large 1, 2, and 3 bedroom apartments that have contemporary designs, natural ventilation of the apartment and quality fittings. Faisal Heights is the building where construction is advanced and the model apartments are opened to be viewed to attract the continuous interest of families and investors.",1,1.0,1.0,1.0,19.0,,1.0,1.0,0.28888888888888886,Future,Ground/First Floor,High Rise,Single/None
181,F-11,F-11,2.25,1.0,5.6,1.0,One Bedroom Apartment Available for Sale with Best Rental Income Details 1 Bedroom attached Bath Tv Lounge Kitchen Unger Ground Car Parking Size 1250 square feet (5.6 Marla) CCTV cameras for Security System Separate Electricity Gas Meters 24/7 Elevators Family Environment Residential Apartment 24 Hours Security Guards Neat & Clean Apartment Rental Value 100k Abdul Rehman,0,1.0,1.0,3.0,9.0,1.0,1.0,1.0,0.4017857142857143,Modern Era,Ground/First Floor,Mid Rise Core,Multiple Bank
188,Soan Garden,Soan Garden,1.5,3.0,6.0,3.0,"A Beautiful Three Side Corner And Park Facing With Stunning View Apartment Is Available For Sale In Block H, Soan Gardens Housing Scheme, Islamabad. Moreover, This Apartment Is With Roof Ownership And Roof Top Is Already Rented Out To PTA License Holder Telecom Towering Multi National Company. Best For Rental Income.",0,1.0,1.0,1.0,6.0,,2.0,1.0,0.25,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
189,F-11,F-11,1.3,2.0,4.4,2.0,F11 Abu Dhabi Tower basement floor 2bedroom Attached bath unfurnished size 1000sf for sale demand 130lac urgent sale rent value unfurnished 80000 and Fully Furnished 110lac More details please contact,0,1.0,4.0,4.0,6.0,1.0,1.0,1.0,0.2954545454545454,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
191,Sukh Chayn Residence,F-10,12.0,4.0,12.4,4.0,"Best opportunity for investment. . . . Brand New 4bed apartment Available for Sale in the Heart of Islamabad, all Facilities Available. . . .",0,2.0,10.0,3.0,12.0,1.0,1.0,1.0,0.9677419354838709,Brand New (2025),Mid-Level,Mid Rise Core,Multiple Bank
192,Sukh Chayn Residence,F-10,13.25,5.0,12.4,4.0,"The Convenient And Stunning Neighbourhood Of Sukh Chayn Residence Is Offering A Number Of Properties For Investment. This Flat Has Good Value For Money. Yes, You Heard Right. High-End Apartment Unit For Sale Is Available In Sukh Chayn Residence That Might Be Better Suited To Your Requirements. Real Estate In Islamabad Is Fast Growing So Don'T Miss Your Opportunity Of Housing Or Investment. Invest Rs. 132500000 And Become A Proud Owner Of This Lucrative Property. 2800 Square Feet Units Don'T Become Available Easily So Buy It While It'S Available. The Details Of The Property Are Listed Down Below. Feeling Stressed? Simply Step Into The Steam Room That Is Part Of The Flat For A Few Minutes. For The Ultimate Luxury Experience, The Property Also Has A Sauna For A Healthier And Relaxed State Of Body And Mind. This Property Boasts A Spacious Lounge Where Your Family Can Hold Discussions And Watch Television. To Provide A Complete Lifestyle Experience, The Project Offers A Variety Of Urban Amenities, Including Broadband Internet Access. The Flat Is Located Near The Community Garden Where You Can Relax With Your Evening Tea And Snacks. This Property Comes With A Well-Lit Dining Room To Host Your Dinners. Residents Have Peace Of Mind Knowing They Can Access ATM Machines Within Their Complex. You Can Get All Property-Related Info By Contacting Us Via Our Web Form.",0,2.0,1.0,3.0,12.0,2.0,1.0,1.0,1.0685483870967742,Brand New (2025),Ground/First Floor,Mid Rise Core,Multiple Bank
195,Faisal Hills,Faisal Hills,0.77,1.0,2.1,1.0,"Booking From 15 Lac 48 Monthly Installments Total Price Is 77 Lac Project By A Well-Known Developer Possession Within 3 Years High ROI Expected A Project Inspired By Namazi Street Baku Azerbaijan Unique Concept, First Time In Pakistan",1,1.0,1.0,1.0,6.0,,,,0.36666666666666664,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
199,Constitution Avenue,Constitution Avenue,23.0,6.0,19.3,4.0,"4-Bedroom Apartment for Sale One Constitution Avenue, Islamabad Margalla View | 7 Bathrooms | Luxury Living Discover upscale living in this spacious 4-bedroom apartment located in the prestigious One Constitution Avenue, Islamabad. Offering breathtaking Margalla Hills views, this apartment is a perfect blend of elegance, comfort, and prime location. Key Features: 4 Bedrooms with attached modern bathrooms 7 Bathrooms in total (including powder rooms & servant quarters) Panoramic Margalla Hills views from large windows and balconies Modern kitchen, ample storage, and spacious lounge & dining areas Servant quarters with separate access Central heating & cooling, secure environment High-speed elevators, standby power, and covered parking This apartment is ideal for families seeking a premium lifestyle in the heart of the capital, near Diplomatic Enclave, Serena Hotel, and Constitution Avenue landmarks. Location: Tower G, One Constitution Avenue, G-5, Islamabad For more details or to schedule a viewing, please click on WhatsApp button:",0,3.0,2.0,3.0,23.0,1.0,2.0,1.0,1.1917098445595855,Recently Built,Lower Floors,High Rise,Multiple Bank
208,Sukh Chayn Residence,F-10,8.35,3.0,8.7,3.0,"Sukh Chyn F10 Apartments for Sale with modern amenities and facilities 3 bedrooms apartment for Sale Personal elevator 1960 sq. ft Kitchen Lounge Dining Beautiful balcony Store Dedicated car parking Price Asking 8.35 crore Here are some facilities 1.24/7 Concierge Service: A dedicated concierge to assist residents with various services and requests. 2. Fitness Center: State-of-the-art gym facilities with modern equipment. 3. Swimming Pool: A luxurious pool area for relaxation and recreation. 4. Salon 5. High-end Kitchen Appliances: Top-of-the-line appliances like Sub-Zero refrigerators, Miele ovens, etc. 6. Smart Home Technology: Integration of smart features for security, lighting, and temperature control. 7. Private Balconies or Terraces: Outdoor spaces for enjoying fresh air and city views. 8. Reserved Parking: Secure parking spaces for residents. 9. Security Systems: Advanced security measures like CCTV, keyless entry, and on-site security personnel. 10. Community Spaces: Luxurious lounges. 11. Mosque These facilities add comfort, convenience, and a touch of luxury to apartment living.",0,2.0,5.0,6.0,12.0,2.0,1.0,1.0,0.9597701149425287,Brand New (2025),Lower Floors,Mid Rise Core,High-Capacity
223,Pine Heights Luxury Apartments,D-17,1.7,3.0,6.5,3.0,"Discover your dream home in the peaceful surroundings of D-17/2 Islamabad! This beautifully furnished 3-bedroom flat is located on the 6th floor of Pine Apartments, offering a perfect blend of comfort, elegance, and affordability. With a total area of 1,469 sq. ft. , this apartment is ideal for families seeking a modern lifestyle in a serene yet well-connected location. Flat Features: 3 Spacious Bedrooms with Attached Bathrooms Fully Furnished (Beds, Sofas, Curtains, Appliances Included) Stylish Kitchen with Modern Fittings Balcony with Beautiful Terrace View Drawing/Dining Room High-Quality Finishing Secure 6th Floor Location with Lift Access Building & Community Amenities: 24/7 Security & CCTV Surveillance Standby Generators & Fast Elevators Dedicated Car Parking Mosque within the Block Childrens Play Area & Nearby Parks Grocery Stores, Schools, and Restaurants within Walking Distance Peaceful, Clean & Family-Friendly Environment Why Choose D-17/2 Islamabad? Fast-developing sector with great investment potential Easy access via Margalla Avenue & GT Road Affordable housing compared to central Islamabad Fresh air, scenic views, and green surroundings An Excellent Low-Budget Investment Opportunity Perfect for Living or Rental Income! Co-Founder, Noms Group We deal in PDA Projects (Hayatabad & Regi Model Town), DHA Peshawar, PHA, Eighteen Islamabad, Faisal Town & Faisal Hills Islamabad.",1,1.0,7.0,3.0,10.0,,1.0,,0.26153846153846155,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
224,Park View City,Park View City,4.95,3.0,8.0,2.0,1800 Sqr Feet Apartment In Down Town Luxury Life Style Near Near Fountain View Contact For More Details,1,1.0,1.0,1.0,4.0,,,,0.61875,Recently Built,Ground/First Floor,Lower Levels,Single/None
227,G-10,G-10,1.95,1.0,3.5,1.0,"GREEN VIEW APARTMENTS, A modern high-rise project in G-10 Islamabad, featuring luxurious residential apartment units designed with high-quality materials and sustainable practices. The units will range from 1 to 3-bedroom apartments and luxurious penthouses, catering to diverse family needs and preferences. Residents will enjoy top-tier amenities, including a prayer hall, fast elevators, gym, cafe, and secure basement car parking. The project emphasizes safety with robust security measures, including 24/7 surveillance and controlled access points. Combining contemporary living with eco-friendly design, this project promises a superior quality of life, offering both elegance and functionality in a stunning natural setting",0,1.0,3.0,3.0,10.0,1.0,1.0,0.0,0.5571428571428572,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
260,Diplomatic Enclave,Diplomatic Enclave,12.5,3.0,12.2,3.0,"3 Bedroom Modern Apartment Furnished Margalla View Diplomatic Enclave 2750 Square Feet For Sale You simply cannot say no to this Flat. Better yet, it comes with tonnes of exciting features that distinguish it from other properties. Not every city thrums with so much life and possibilities as Diplomatic Enclave, which is why it should be your home. You can pay a fair price of PKR Rs. 125000000 in instalments or as decided with the seller. 2750 Square Feet sized residential or commercial property is best for investment purposes. Diplomatic Enclave is well-regarded for its stable property value as new developments take place. Just know that a purchasing opportunity like this doesn't come easy! Contact us now, and our representatives will give you all the details you need.",0,4.0,1.0,1.0,11.0,1.0,2.0,1.0,1.0245901639344264,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
263,B-17,B-17,0.95,2.0,3.6,2.0,"Brand New 2-Bedroom Apartment for Sale Multi Gardens B-17, Islamabad Discover modern living in the heart of Islamabad's rapidly developing sector Multi Gardens B-17. This brand new 2-bedroom apartment offers the perfect blend of comfort, elegance, and convenience for families, couples, or investors. Property Highlights: Location: Prime area in B-17, Multi Gardens, Islamabad Type: Brand New Apartment Bedrooms: 2 Spacious Bedrooms Bathrooms: 2 Modern Bathrooms Kitchen: Open-style, Fully Equipped Living Area: Bright and airy lounge with large windows Balcony: Private balcony with scenic views Floor: [Add floor number if known] Size: [800 sqft . ] Project Features: Secure and well-maintained building Fast and spacious elevators 24/7 security and CCTV surveillance fire alarm system Backup power Close to schools, supermarkets, mosques, and parks Ideal For: End-users seeking a modern lifestyle Investors looking for high rental yield Families wanting a secure and serene neighborhood Dont miss this opportunity to own a stylish, brand new apartment in one of Islamabads most promising areas! we also providing design and construction services at surrounding Islamabad if you are looking construction farm please we our sites for quality construction at Islamabad",0,2.0,1.0,1.0,1.0,,2.0,1.0,0.2638888888888889,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
268,Askari Tower 3,DHA Phase 5,4.15,5.0,14.2,4.0,"Luxury 4-Bed Apartment for Sale DHA 5 Tower 3, Islamabad Property Highlights: 4 Spacious Luxury Bedrooms 1 Servant Quarter 1 Powder Room Drawing Room & Dining Room Comfortable TV Lounge Elegant Lobby & Modern Layout Beautiful Scenic View 24/7 Water Supply & High-Speed Internet Mosque Nearby Dedicated Laundry Area Availability of Skilled Manpower (plumber, electrician, carpenter, gardener etc. ) Small Shops Within Vicinity (barber, grocery, and daily-use shops) Tandoor & Local Hotel Nearby Secure & Peaceful Environment Ample Parking Space Amenities: High-speed lifts Power backup 24/7 security & CCTV Clean and well-maintained surroundings Located in the heart of DHA Phase 5 Tower 3, Islamabad Enjoy a luxurious and convenient lifestyle surrounded by all modern facilities and daily necessities just steps away. For Visit or Details: View Contact Detail View Contact Detail Property Hut Real Estate Consultants Where comfort meets class.",0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.2922535211267606,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
